epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,323.92,0.92138,0.76154,1.07729,0.55279,0.54669,0.48141,0.23405,1.83218,1.45537,1.93849,0.0012432,0.0012432,0.0012432
146,326.058,0.92481,0.77295,1.08294,0.55487,0.5507,0.47946,0.24092,1.80903,1.47634,1.89262,0.00123725,0.00123725,0.00123725
147,328.21,0.89332,0.72738,1.05509,0.57033,0.5463,0.50954,0.23876,1.80234,1.50771,1.87372,0.0012313,0.0012313,0.0012313
148,330.382,0.88091,0.74337,1.06187,0.58644,0.51352,0.50277,0.23698,1.82353,1.48507,1.87368,0.00122535,0.00122535,0.00122535
149,332.635,0.90007,0.72734,1.06534,0.55482,0.52322,0.48661,0.22516,1.80603,1.51303,1.87904,0.0012194,0.0012194,0.0012194
150,334.768,0.88305,0.71694,1.04153,0.58413,0.52375,0.49044,0.23944,1.79233,1.44157,1.86,0.00121345,0.00121345,0.00121345
151,336.94,0.9023,0.74219,1.07093,0.6065,0.54698,0.50269,0.2427,1.80453,1.40508,1.85815,0.0012075,0.0012075,0.0012075
152,339.144,0.87339,0.72356,1.04922,0.55016,0.53977,0.48629,0.23919,1.80248,1.47861,1.86881,0.00120155,0.00120155,0.00120155
153,341.224,0.89254,0.75395,1.06381,0.5421,0.5533,0.47633,0.22833,1.82135,1.46035,1.87836,0.0011956,0.0011956,0.0011956
154,343.366,0.87833,0.71564,1.05092,0.50959,0.57074,0.46506,0.23247,1.82075,1.44429,1.87381,0.00118965,0.00118965,0.00118965
155,345.547,0.90276,0.73697,1.0674,0.5462,0.50635,0.46249,0.23282,1.82805,1.45273,1.89243,0.0011837,0.0011837,0.0011837
156,347.648,0.93538,0.72969,1.03883,0.55049,0.5246,0.45907,0.22524,1.86679,1.47917,1.92985,0.00117775,0.00117775,0.00117775
157,349.807,0.90309,0.73186,1.05144,0.56216,0.56762,0.49474,0.22427,1.86343,1.48522,1.93139,0.0011718,0.0011718,0.0011718
158,351.929,0.8843,0.72839,1.06702,0.60428,0.55187,0.51501,0.22912,1.85749,1.45135,1.95805,0.00116585,0.00116585,0.00116585
159,354.093,0.83327,0.7095,1.05546,0.63535,0.52053,0.51632,0.23374,1.84864,1.41483,1.94806,0.0011599,0.0011599,0.0011599
160,356.263,0.87872,0.73058,1.05443,0.5836,0.53587,0.48946,0.235,1.81525,1.39206,1.91931,0.00115395,0.00115395,0.00115395
161,358.395,0.8593,0.71435,1.05149,0.62473,0.54147,0.52376,0.22908,1.8539,1.4434,1.94104,0.001148,0.001148,0.001148
162,360.437,0.86963,0.72554,1.0733,0.59312,0.54133,0.50698,0.23555,1.83052,1.41741,1.9274,0.00114205,0.00114205,0.00114205
163,362.584,0.88153,0.71218,1.04562,0.57816,0.55618,0.49839,0.23431,1.85886,1.42491,1.95543,0.0011361,0.0011361,0.0011361
